q-max	action	timestep
2.537	NOOP	1032
2.100	NOOP	1106
2.348	RIGHT	1147
2.279	FIRE	1209
2.580	FIRE	1347
1.930	NOOP	1364
2.370	LEFT	1482
2.441	LEFT	1491
1.976	NOOP	1583
2.001	NOOP	1585
1.856	NOOP	1658
2.411	LEFT	1688
2.746	NOOP	2043
2.823	RIGHT	2044
2.364	LEFT	2051
3.329	LEFT	2428
2.566	LEFT	2664
1.938	NOOP	58
2.008	RIGHT	118
2.483	LEFT	172
1.870	RIGHT	220
2.156	NOOP	233
1.826	NOOP	407
1.736	NOOP	521
1.998	NOOP	564
2.128	NOOP	819
2.247	LEFT	854
1.935	NOOP	941
2.614	FIRE	1145
2.725	FIRE	1190
2.471	FIRE	1414
2.157	LEFT	1525
2.260	NOOP	1685
2.293	FIRE	1932
2.232	LEFT	64
1.712	NOOP	83
2.731	FIRE	126
1.832	NOOP	137
1.583	FIRE	315
1.940	NOOP	335
2.232	RIGHT	355
1.748	NOOP	382
1.882	RIGHT	501
1.878	RIGHT	502
2.229	NOOP	545
2.113	LEFT	715
2.358	FIRE	865
1.595	LEFT	874
1.731	NOOP	1131
2.034	NOOP	1174
2.745	LEFT	1223
2.773	FIRE	1274
2.283	LEFT	1300
2.721	FIRE	1549
2.826	RIGHT	1612
2.815	FIRE	1650
2.932	FIRE	1702
2.821	FIRE	259
2.565	RIGHT	429
2.000	RIGHT	794
1.875	RIGHT	840
2.226	LEFT	934
2.602	LEFT	974
2.743	RIGHT	1092
2.161	LEFT	1129
2.124	NOOP	1179
2.012	NOOP	1239
2.028	NOOP	1240
2.084	RIGHT	1249
2.454	NOOP	1257
2.055	FIRE	1493
2.712	NOOP	1607
2.891	RIGHT	1667
2.799	LEFT	1837
3.171	LEFT	1863
2.824	NOOP	1875
1.750	NOOP	4
2.023	NOOP	21
1.684	RIGHT	158
2.213	LEFT	188
2.183	LEFT	190
1.947	NOOP	214
1.608	NOOP	362
2.363	NOOP	588
1.987	NOOP	616
1.603	NOOP	672
2.285	FIRE	948
2.512	NOOP	953
2.718	NOOP	1419
3.068	FIRE	1428
1.875	NOOP	12
1.847	NOOP	73
2.526	LEFT	115
2.649	LEFT	199
1.683	NOOP	259
2.092	NOOP	448
2.427	LEFT	573
2.502	FIRE	575
1.782	NOOP	594
2.574	LEFT	639
2.296	LEFT	781
1.998	NOOP	834
1.871	NOOP	885
1.694	NOOP	978
1.885	NOOP	1049
2.483	LEFT	1174
2.643	LEFT	1229
2.083	LEFT	1259
1.837	NOOP	1318
2.020	RIGHT	1334
2.621	LEFT	1731
2.734	NOOP	1922
2.756	FIRE	210
2.432	LEFT	266
2.540	LEFT	271
2.699	NOOP	388
2.667	FIRE	722
1.915	RIGHT	731
2.471	LEFT	813
4.671	NOOP	1139
5.000	FIRE	1221
2.059	NOOP	8
2.007	NOOP	211
2.461	NOOP	427
2.388	LEFT	477
2.468	FIRE	779
2.546	FIRE	782
2.440	NOOP	845
1.986	RIGHT	928
1.925	NOOP	1048
1.859	FIRE	1072
1.953	NOOP	1120
2.094	NOOP	1168
2.674	LEFT	1350
2.245	LEFT	1515
1.875	NOOP	1568
2.407	RIGHT	1682
3.225	FIRE	1717
1.893	NOOP	116
2.355	LEFT	220
1.745	RIGHT	301
2.461	LEFT	396
1.724	RIGHT	420
2.570	LEFT	581
1.992	LEFT	723
2.574	LEFT	810
2.717	FIRE	949
2.788	FIRE	982
1.795	NOOP	1222
1.818	NOOP	1256
1.894	NOOP	1312
1.835	NOOP	1390
1.860	NOOP	1516
1.860	NOOP	1662
1.835	NOOP	1921
2.564	FIRE	1996
1.715	NOOP	2008
2.021	NOOP	2021
2.206	LEFT	2101
1.811	NOOP	2192
2.654	NOOP	2330
3.086	FIRE	2339
1.655	LEFT	2658
1.843	NOOP	92
1.842	RIGHT	224
